0,음식점-족발/보쌈전문,3789
0,음식점-중국음식,9054
0,치킨,21605
0,피자,2170
1,음식점-족발/보쌈전문,2410
1,음식점-중국음식,8471
1,치킨,11358
1,피자,1162
2,음식점-족발/보쌈전문,1652
2,음식점-중국음식,7499
2,치킨,5870
2,피자,830
3,음식점-족발/보쌈전문,1072
3,음식점-중국음식,6416
3,치킨,3037
3,피자,531
4,음식점-족발/보쌈전문,775
4,음식점-중국음식,5640
4,치킨,1603
4,피자,295
5,음식점-족발/보쌈전문,796
5,음식점-중국음식,4550
5,치킨,980
5,피자,245
6,음식점-족발/보쌈전문,558
6,음식점-중국음식,4142
6,치킨,735
6,피자,240
7,음식점-족발/보쌈전문,715
7,음식점-중국음식,4838
7,치킨,850
7,피자,180
8,음식점-족발/보쌈전문,1214
8,음식점-중국음식,7031
8,치킨,1231
8,피자,380
9,음식점-족발/보쌈전문,2915
9,음식점-중국음식,16346
9,치킨,2633
9,피자,1645
10,음식점-족발/보쌈전문,7294
10,음식점-중국음식,43201
10,치킨,7585
10,피자,8589
11,음식점-족발/보쌈전문,12652
11,음식점-중국음식,137366
11,치킨,16956
11,피자,23727
12,음식점-족발/보쌈전문,12525
12,음식점-중국음식,159498
12,치킨,26471
12,피자,29341
13,음식점-족발/보쌈전문,11642
13,음식점-중국음식,114199
13,치킨,26664
13,피자,26766
14,음식점-족발/보쌈전문,11371
14,음식점-중국음식,73482
14,치킨,27736
14,피자,24926
15,음식점-족발/보쌈전문,12836
15,음식점-중국음식,55612
15,치킨,34238
15,피자,26681
16,음식점-족발/보쌈전문,17420
16,음식점-중국음식,58148
16,치킨,52385
16,피자,32268
17,음식점-족발/보쌈전문,24561
17,음식점-중국음식,86328
17,치킨,95094
17,피자,44218
18,음식점-족발/보쌈전문,30991
18,음식점-중국음식,116342
18,치킨,145929
18,피자,59663
19,음식점-족발/보쌈전문,28240
19,음식점-중국음식,98778
19,치킨,146077
19,피자,56709
20,음식점-족발/보쌈전문,20686
20,음식점-중국음식,49628
20,치킨,118330
20,피자,44705
21,음식점-족발/보쌈전문,15629
21,음식점-중국음식,18660
21,치킨,102228
21,피자,36124
22,음식점-족발/보쌈전문,11567
22,음식점-중국음식,11965
22,치킨,84819
22,피자,22477
23,음식점-족발/보쌈전문,7468
23,음식점-중국음식,9967
23,치킨,47173
23,피자,6723
